"NEM Address","Label"
"NATRUSTUAB5LAWDSOWDUPQUFYRTGZTJZDGML2JKP","NEM Group Trust"
"NANODESTSN7GU76QPLGMJ7BCGCAA2PHVBZZUUI62","NEM Group Trust"
"NBKXLNQ2GKTLQBTXNFOHULNJDA7T2Q57CZGQ2TFP","NEM Group Trust"
"NBLOCKYZLCBVO2XF2DB3D74AE2RC5WSHX5JEZOID","NEM Group Trust"
"NDBRF5NM466LB6CINFIXLGRIGDL36L7B667WMVQ5","NEM Group Limited"
"NBRXCR7QJ56CTX5HMIP7VHDMYZTYCEN3DZAIK6O4","NEM Group Limited"
"NB2MQ7EA2YG2RRXHIHO4HA2WCYUYCX5BDQG5CQNW","NEM Group Limited"
"NDYNZWZ66ZKBSROL63Y5A27QQEACACT46P5QEUIU","NEM Ventures Limited"
"NBVEMLRQUWTFKOIBU5FBBNTA437S27EUC2H7CIL3","NEM Ventures Limited"
"NC2M77ZXJ5FEWJUD4VQRGNJPIGFGCMXYL4FNMNUN","NEM Ventures Limited"
"NDEBESTILI7WL4PJOY5QXIUXHVOYWW3TL6KCSFI4","NEM Ventures Limited"
"NDSQUAFDFXI4CCNZXQNH3MNMOISYGSAVEODUTJBA","NEM Holdings Limited"
"NCONTINUYJDHQ676U7OOASO42I4IJXHZD4O3BTAR","Continuity Fund"
"NCHESTYVD2P6P646AMY7WSNG73PCPZDUQNSD6JAK","Protocol Treasury"
"NAMESPACEWH4MKFMBCVFERDPOOP4FK7MTBXDPZZA","Namespace sink"
"NCPAYOUTH2BGEGT3Q7K75PV27QKMVNN2IZRVZWMD","Supernode rewards"
"NBMOSAICOD4F54EE5CDMR23CCBGOAM2XSIUX6TRS","Mosaic sink"
"NA2BCKPB2TUL2RN3YIMYR5GLT5IBV7TYVGPDUANQ","Cryptopia"
"NAT62KHUVLWY7HASYBSOBAY3WMZUDSP6QCUFWTBY","Bitvavo"
"NCCFO5QDFV5FS3BTBPEU2QO6UHZD7PHGFNCPISDL","Bitcoin Indonesia (Indodax)"
"NAHA7JNAFWWLWKVTQP65CRI3VKJXKH42WW6BRVYR","Spectrocoin"
"NDROMSHKOBMDEXYI3Y7VB2XN35YNE5P5HCGAUER4","Koineks"
"NAWY52S4MBWST5JDXDSA4BDDF5GR2CJZ3IZ2DUX7","Coinpayments"
"NAGJG3QFWYZ37LMI7IQPSGQNYADGSJZGJRD2DIYA","Zaif"
"NCES7OKBYZRCSTSNRX45H6E67J6OXABKNT6IRD2P","Zaif"
"NA2P5F6DHPZMUJMKR2E2HNBFHDQVC3YRYNPFEH3V","Coincheck"
"NC64UFOWRO6AVMWFV2BFX2NT6W2GURK2EOX6FFMZ","Binance"
"NDBRUFE7R5OANEDE43VCTMUVRHTI6XZ7TQFVNTMU","Binance"
"ND2JRPQIWXHKAA26INVGA7SREEUMX5QAI6VU7HNR","Bittrex"
"NBZMQO7ZPBYNBDUR7F75MAKA2S3DHDCIFG775N3D","Poloniex"
"NCB46TPCVSVZBUKVIGINOBROQWZDR2ZOQVFJB74Y","Huobi"
"NDABPHWFPH7KL5FADCW66V4GYLVXHKYQIPWL4G2B","Huobi"
"NBPSD3XHTWHADQHMT5DSVIP3ZQXHKI5P6PJIWROK","Huobi"
"NDWWAPNLWGI6JWSVKM6ARUKJR3CMRLVGFHX5JOTS","Huobi"
"NAMTX4FCWQIPG6QVKJTJDKJFJIKZ2V6RNYLPCYRL","Upbit"
"NCYAVMNQOZ3MZETEBD34ACMAX3S57WUSWAZWY3DW","Okex"
"NAX27ORAIVEGT4BHQ5EP3F4QZ76OGXUHEJSHWQBZ","Bithumb"
"NDU5V3JVJDKBK2I7PWKOBQCMDRRMBP3MUIL2TCWD","XTcom"
"NBRT3YQTVHLTYBDUXH2HHURI5KCYDWRWJ63YWIGG","Yobit"
"NBUJQZ2G3HQQSKO77WPD42U3F2V4NUQTUDXKSEUY","HitBTC"
"NBGXUFTY75MI3N7HYGZMPFIEQBIDGPHRGQG2MFUI","HitBTC"
"NCO7BHNFFWQG675VSXVVCL5VWPOVFAVT2BBPX7VO","HitBTC"
"NCQZSXFB6JVUYBMNIKSYXFOS7COICL2LPXULRD6K","HitBTC"
"NCP7UH5BT5OHPAWPFFVNR2453BNODJUZJ6777N3N","HitBTC"
"NBRQROW2TCR473Z35VJ45SJ3GHJJA5TOD4JF556T","HitBTC"
"NB2CCC4ZKHX32CF4QU4X22S6LOS765W5A6LDKLJ2","Bitflyer"
"NDBCJFIIQ7MWZERWL7A4UYHDA7UKSB67TD5B4BQ4","Bitflyer"
"NDPB42PL6ZFM37XVMUXDWB5OXMQR45JCFSRTIA2N","Bitflyer"
"NDEE6PQL2OTX7BSE7PKQ55IQXXFJHPAH7QVBOJMP","Gate.io"
"NBVZ3KLJ4DOSNUISFR3U6G2F342J5MPXVE4XWANS","Gate.io"
"NDJJQBVYULBZTKR2UCERXYRWXOUWVYH6ATI6OIAA","Copper"
"NBDGHODZS3TYUNTRNCGNSTQZLCK3CFZZOA3JA7SA","Probit"
"NDV3DTJVBQRUPHYQRWRP4Q7IRRDN3CAPUFGZ7UXI","Kuna"
"NDQ6SBYGMEUZMZOBKJTQAKXQREA55SVLF7QUYPEU","BtcTradeUA"
"ND5NJ3J5J3VG7WCSIYIL3RRGEWNUCTRV52AOABBZ","Bitbns"
"NDTQ3H2AK67ONOBJQO6EHOR43HMVK2APMFRSJ2YJ","Qryptos"
"NBA7SFOHPI3MHWKQWCJMWJQHMOCAHXNM2PYY36SA","AEX"
"NC5CUUD2IU4H5NBZIPKN33HLOZDFPPBKHFO7S75K","Coinsuper"
"NC6GOUR4ICVVPPK7N4UIYWDJM6LTUBJFR7OVXDS5","Crex24"
"NCRZPBT75WDYL7DXK2MOJMSS64JR7XVH7IH54XJY","Alfacashier"
"NBD6WBCUNMHHATBV4LE2CIKG7OH4OAHS6CDEXRLD","Vhcex"
"NB6RSF7G22FFNJZ5HTAJS23X5WIMXACZJCI2CJE7","GraviEX"
"NDIGV7FUKZWTXNERTFRPKBCZLCDUUE5HJVQHTJQZ","Spectrocoin"
"NBJZL2BAN2VQMIYTVHPJZUFKJEOT4DOBQF2NSFDD","HitBTC"
"NC3BI3DNMR2PGEOOMP2NKXQGSAKMS7GYRKVA5CSZ","Coincheck"
"NC2DF4NGCE6WNVTJR4377NNFX2W5P4BEN3FIKWCV","Spectrocoin"
"NBLQ6PE7Z5CVANJNXGOR74UQLOJ2YMGJJOZ4YFAQ","Changelly"
"NA3MZM72LRCVRJYXLIXWHQDKNUMLHY6KFO253ICC","Coincheck"
"NCGKZRIK2USWVO6JAWML647WKT34ECKIXFHT5DIN","ZB.com"
"NCKV5IMPU633ZSOUPWESFWPED5HZ5QONPYT5FRZO","Shapeshift"
"NBX3QKZJV2UPO3NJ5ULTFW2V5EE4N2I5N2REX7PO","HitBTC"
"NANEMOABLAGR72AZ2RV3V4ZHDCXW25XQ73O7OBT5","Nemesis address"
